Class,Sex,Age,Survived
3rd,Male,Child,False
3rd,Female,Child,False
1st,Male,Adult,False
2nd,Male,Adult,False
3rd,Male,Adult,False
Crew,Male,Adult,False
1st,Female,Adult,False
2nd,Female,Adult,False
3rd,Female,Adult,False
Crew,Female,Adult,False
1st,Male,Child,True
2nd,Male,Child,True
3rd,Male,Child,True
1st,Female,Child,True
2nd,Female,Child,True
3rd,Female,Child,True
1st,Male,Adult,True
2nd,Male,Adult,True
3rd,Male,Adult,True
Crew,Male,Adult,True
1st,Female,Adult,True
2nd,Female,Adult,True
3rd,Female,Adult,True
Crew,Female,Adult,True
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Male,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
3rd,Female,Child,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
1st,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
2nd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
3rd,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
Crew,Male,Adult,False
